Indication_ID,Indication_Name
314,Candidal cystitis
315,Candidemia
316,Candidiasis
317,Canker sores
318,CAPD associated peritonitis
319,Capillary bleeding
320,Carbohydrate nutrient in diabetic patients
321,Carbon monoxide poisoning
322,Carbuncles
323,Carcinoma
324,Carcinoma of the colon or rectum
325,Cardiac arrest
326,Cardiac arrhythmias
327,Cardiac stress test
328,Cardiomyopathy
329,Cardiopulmonary Bypass Surgery
330,Cardiovascular disease
331,Cardiovascular event prevention
332,Cardiovascular risk reduction
333,Carditis
334,Cat scratch disease
335,Cataplexy
336,Cataract & glaucoma operations
337,Cataract surgery
338,Catarrh
339,Cavities
340,Cellulitis
341,Central respiratory depression
342,Central retinal vein occlusion
343,Cerebral oedema
344,Cerebral or pulmonary edema
345,Cerebral palsy
346,Cerebrovascular disease
347,Cerebrovascular insufficiency
348,Cervical cancer
349,Cervical dystonia
350,Cervical intraepithelial neoplasia
351,Cervical priming
352,Cervical softening and dilatation
353,Cervicitis
354,Cervicitis and proctitis
355,Cervicitis and salpingitis
356,Chancroid
357,Chapped roughened hands
358,Cheilosis
359,Chemotherapy induced nausea and vomiting
360,Chemotherapy induced-neutropenia
361,Chest congestion
362,Chickenpox
363,Children’s growth disorders
364,Chlamydial cervicitis
365,Chlamydial infections
366,Chlamydial urethritis
367,Chloasma
368,Chloroquine-resistant falciparum malaria
369,Cholecystitis
370,Cholera
371,Cholestatic liver disease
372,Chorea
373,Choriocarcinoma
374,Choroiditis
375,Chronic anal fissure
376,Chronic angina
377,Chronic anterior uveitis and corneal injury
378,Chronic asthma
379,Chronic atopic dermatitis
380,Chronic bacterial prostatitis
381,Chronic bronchitis
382,Chronic cholelithiasis
383,Chronic conjunctivitis
384,Chronic cutaneous graft-vs-host disease
385,Chronic emphysema
386,Chronic Fatigue Syndrome
387,Chronic gastritis
388,Chronic hepatitis B
389,Chronic hepatitis C
390,Chronic idiopathic constipation
391,Chronic idiopathic myelofibrosis
392,Chronic idiopathic urticaria (hives)
393,Chronic iron overload
394,Chronic low back pain
395,Chronic lymphocytic leukaemia
396,Chronic lymphocytic leukemia
397,Chronic muscle spasticity
398,Chronic myelogenous leukaemia
399,Chronic myeloid leukaemia
400,Chronic obstructive pulmonary disease (COPD)
401,Chronic open angle glaucoma
402,Chronic or recurrent bacteriuria
403,Chronic pain
404,Chronic pneumonia.
405,Chronic psychoses
406,Chronic renal failure
407,Chronic simple lichen
408,Chronic stable angina
409,chronic stable or vasospastic angina
410,Chronic urticaria
411,Chronic venous disease
412,Cirrhosis
413,Cleansing and irrigating the skin or dirty wounds
414,Cleansing of the colon
415,Cluster headache
416,CMV infections
417,Coccidioidomycosis
418,Cocorticoid induced osteoporosis
419,Cognitive decline
420,Cognitive enhancer
421,Cold
