PackageContainer_ID,Brand_ID,Container_Size,Unit_Price,Container_Type
324,991,100 ml bottle,45.83,Bottle
325,995,500 mg vial,24.67,Vial
326,996,100 ml bottle,47.6,Bottle
327,997,250 mg vial,17.98,Vial
328,998,500 mg vial,24.0,Vial
329,1003,100 ml bottle,43.75,Bottle
330,1004,500 mg vial,22.49,Vial
331,1011,100 ml bottle,45.0,Bottle
332,1017,50 ml bottle,195.6,Bottle
333,1018,500 mg vial,300.0,Vial
334,1022,100 ml bottle,47.61,Bottle
335,1023,100 ml bottle,78.0,Bottle
336,1024,25 ml bottle,120.0,Bottle
337,1025,60 ml drop,60.0,Drop
338,1026,100 ml bottle,84.75,Bottle
339,1027,100 ml bottle,100.0,Bottle
340,1033,30 ml bottle,130.0,Bottle
341,1035,1 ml ampoule,60.0,Ampoule
342,1036,30 gm tube,100.0,Tube
343,1038,100 mg vial,50.0,Vial
344,1040,2 ml ampoule,20.14,Ampoule
345,1050,1 ml ampoule,55.0,Ampoule
346,1051,2 ml ampoule,95.0,Ampoule
347,1055,60 ml bottle,20.63,Bottle
348,1056,15 ml bottle,12.25,Bottle
349,1058,60 ml bottle,30.0,Bottle
350,1060,60 ml bottle,19.0,Bottle
351,1065,1 ml ampoule,66.9,Ampoule
352,1068,40 mg vial,70.21,Vial
353,1070,5 ml ampoule,50.34,Ampoule
354,1074,15 ml bottle,50.0,Bottle
355,1075,100 ml bottle,85.0,Bottle
356,1076,100 ml bottle,120.0,Bottle
357,1085,100 ml bottle,60.0,Bottle
358,1102,5 ml ampoule,327.26,Ampoule
359,1103,10 ml ampoule,600.0,Ampoule
360,1104,133 ml container,250.0,Container
361,1105,4 ml ampoule,30.2,Ampoule
362,1106,1 gm vial,100.0,Vial
363,1107,500 mg vial,69.59,Vial
364,1108,60 ml bottle,35.0,Bottle
365,1111,35 ml bottle,75.28,Bottle
366,1114,5 ml drop,80.0,Drop
367,1149,100 ml bottle,50.0,Bottle
368,1152,100 ml bottle,300.9,Bottle
369,1157,10 gm tube,13.0,Tube
370,1158,5 ml drop,80.0,Drop
371,1160,2 ml ampoule,12.0,Ampoule
372,1162,5 ml ampoule,300.0,Ampoule
373,1167,15 gm tube,80.3,Tube
374,1169,30 gm tube,200.0,Tube
375,1173,5 gm tube,35.0,Tube
376,1175,3 ml ampoule,75.0,Ampoule
377,1182,10 ml ampoule,75.5,Ampoule
378,1183,200 metered spray,216.45,Inhaler
379,1186,4 ml ampoule,32.0,Ampoule
380,1187,50 ml bottle,45.0,Bottle
381,1191,10 ml vial,415.0,Vial
382,1192,3 ml cartridge,222.0,Cartridge
383,1193,10 ml vial,195.0,Vial
384,1194,10 ml vial,415.0,Vial
385,1195,3 ml cartridge,222.0,Cartridge
386,1196,10 ml vial,415.0,Vial
387,1197,10 ml vial,415.0,Vial
388,1198,3 ml cartridge,220.0,Cartridge
389,1199,10 ml vial,195.0,Vial
390,1200,2 ml ampoule,5.32,Ampoule
391,1201,100 ml bottle,40.13,Bottle
392,1208,200 ml bottle,45.0,Bottle
393,1210,200 ml bottle,75.0,Bottle
394,1211,15 ml drop,11.04,Drop
395,1212,15 ml drop,11.55,Drop
396,1213,120 metered sprays,110.5,Inhaler
397,1216,25 gm tube,35.14,Tube
398,1219,15 ml bottle,30.1,Bottle
399,1220,100 ml bottle,47.6,Bottle
400,1221,100 ml bottle,65.2,Bottle
401,1228,50 ml bottle,200.0,Bottle
402,1230,60 ml bottle,29.89,Bottle
403,1233,20 gm tube,300.0,Tube
404,1234,100 ml bottle,21.77,Bottle
405,1236,100 ml bottle,21.85,Bottle
406,1247,100 ml bottle,80.0,Bottle
407,1248,15 gm tube,80.0,Tube
408,1261,60 ml bottle,25.0,Bottle
409,1263,60 ml bottle,20.59,Bottle
410,1268,2 ml ampoule,15.05,Ampoule
411,1272,10 gm tube,60.0,Tube
412,1277,60 ml bottle,22.0,Bottle
413,1283,60 ml bottle,27.0,Bottle
414,1290,100 ml bottle,500.0,Bottle
415,1292,60 ml bottle,25.0,Bottle
416,1296,15 ml bottle,15.0,Bottle
417,1298,10 ml drop,34.5,Drop
418,1299,5 ml drop,70.21,Drop
419,1301,100 ml bottle,80.0,Bottle
420,1303,60 ml bottle,33.0,Bottle
421,1305,3 ml cartridges,760.0,Cartridge
422,1311,15 ml bottle,28.0,Bottle
423,1312,100 ml bottle,38.44,Bottle
424,1313,50 ml roll-on bottle,190.58,Bottle
425,1317,200 ml bottle,24.89,Bottle
426,1329,10 gm tube,15.0,Tube
427,1333,100 ml bottle,47.47,Bottle
428,1334,100 ml bottle,150.02,Bottle
429,1336,30 ml bottle,130.0,Bottle
430,1346,3 gm tube,35.0,Tube
431,1347,10 ml drop,50.0,Drop
432,1348,60 ml bottle,100.0,Bottle
433,1350,5 ml drop,75.0,Drop
434,1351,5 gm tube,75.5,Tube
435,1356,100 ml bottle,40.0,Bottle
436,1357,60 ml bottle,20.54,Bottle
437,1359,60 ml bottle,35.0,Bottle
438,1360,15 ml drop,25.0,Drop
439,1362,4 ml ampoule,30.0,Ampoule
440,1363,50 ml bottle,45.0,Bottle
441,1365,10 ml drop,190.0,Drop
442,1366,30 gm tube,75.0,Tube
443,1368,85 gm bottle,120.0,Bottle
444,1369,100 ml bottle,55.0,Bottle
445,1370,10 ml drop,90.0,Drop
446,1378,1 ml ampoule,150.0,Ampoule
447,1395,60 ml bottle,25.08,Bottle
448,1399,2 ml ampoule,136.0,Ampoule
449,1402,100 ml bottle,60.0,Bottle
450,1414,50 ml bottle,75.0,Bottle
451,1418,15 gm tube,70.0,Tube
452,1420,200 ml bottle,250.0,Bottle
