Drug_Class_ID,Drug_Class_Name
256,Miscellaneous sedatives & hypnotics
257,Miscellaneous topical agents
258,Motility Stimulants
259,Motility stimulants/Dopamine antagonist
260,Multiple gynecological preparation
261,Multi-vitamin & Multi-mineral combined preparations
262,Mydriatic and Cycloplegic agents
263,Nasal Anti-cholinergic (Anti- muscarinic) Preparations
264,Nasal Anti-histamine preparations
265,Nasal Decongestants & Other Nasal Preparations
266,Nasal non-steroid Preparation
267,Nasal Steroid Preparations
268,Neurodegenerative Disease Drugs / Neuromuscular Disorder Drugs
269,Nicotine
270,Nicotinic acid group
271,Nitrates: Coronary vasodilators
272,Nitrous Oxide 98 % Gas
273,Non depolarizing muscle relaxants
274,Non opioid analgesics
275,Non-Benzodiazepine hypnotics
276,Non-Opioid Analgesics
277,Non-prostanoid IP prostacyclin receptor agonist
278,Non-sedating antihistamines
279,Non-steroidal Anti-inflammatory Drugs (NSAIDs)
280,Ocular perioperative drugs
281,Ophthalmic and Topical antibacterial products
282,Ophthalmic Anti-allergic preparations
283,Ophthalmic antibacterial drugs
284,Ophthalmic Anti-fungal Products
285,Ophthalmic Anti-viral Products
286,Ophthalmic Non-Steroid Combined preparations
287,Ophthalmic Non-Steroid drugs
288,Ophthalmic steroid - antibiotic combined preparations
289,Ophthalmic Steroid- anti allergic combined preparations
290,Ophthalmic Steroid preparations
291,Opioid analgesics
292,Oral Anti-coagulants
293,Oral Contraceptive preparations
294,Oral electrolytes preparations
295,Oral Hormonal preparations for Acne
296,Oral Iron preparations
297,Oral nutritional preparations
298,Oral preparations
299,Oral Retinoid preparations
300,Oral retinoids for Acne
301,Osmotic diuretics
302,Osmotic purgatives
303,Other adrenoceptor stimulants
304,Other Anti-anginal & Anti-ischaemic drugs
305,Other antibacterial preparation
306,Other antibiotic
307,Other Antifungal preparations
308,Other Anti-protozoals
309,Other beta-lactam Antibiotics
310,Other drugs for migraine
311,Other drugs used for peptic ulcer disease
312,Other genito-urinary preparations
313,Other laxative preparations
314,Other lipid regulating drugs
315,Other ophthalmic preparations
316,Other preparations
317,Other scalp preparations
318,Other Systemic Anti-infective Effective in Urinary tract infections
319,Other Topical corticosteroids
320,Oxidising agent with antibacterial and antiviral properties
321,Painkiller Muscle Relaxant
322,Parasiticidal preparations
323,Parenteral anti-coagulants
324,Parenteral Iron Preparations
325,Parenteral nutritional preparations
326,Paroxysmal supraventricular tachycardia (PSVT)
327,Penicillinase-resistant penicillins
328,Peripheral Vasodilator drugs: Intermittent Claudication
329,Peritoneal dialysis solution
330,Phenothiazine drugs
331,Phenothiazine related drugs
332,Phlebotonic & Vascular protecting preparation
333,Piperidinyl-benzisoxazole derivative
334,Plasma expanders
335,Positive Inotropic drugs
336,Potassium channel blockers
337,Potassium-channel activator
338,Potassium-sparing diuretics
339,Potassium-sparing diuretics & Aldosterone antagonists
340,Preparations for Ophthalmic diagnosis
